"issue_key","spot_id","comment"
WEB-237717,559218,"issue found https://www.almagauchaw.com/menu/ https://www.almagauchaw.com/specials/ https://www.almagauchaw.com/drinks/ https://www.almagauchaw.com/events/ https://almagauchaw.com/-catering https://docs.google.com/forms/d/e/1FAIpQLSe7eMW6bcnQrF7_zMXxZSC1NyuyqJbUiH6-n_z4yd655kbPIA/viewform https://www.almagauchaw.com/parties-events/"
WEB-237662,586391,"no issues found"
WEB-237661,129010,"no issues found"
WEB-237660,,"skipped due to missing spot ID or website URL"
WEB-237657,590172,"no issues found"
WEB-237335,544706,"no issues found"
WEB-237331,609412,"no issues found"
WEB-237329,90523,"no issues found"
WEB-237327,582483,"no issues found"
WEB-237326,599941,"no issues found"
WEB-237325,319460,"no issues found"
WEB-237322,410983,"no issues found"
WEB-237321,,"skipped due to missing spot ID or website URL"
WEB-237320,546956,"no issues found"
WEB-237319,115848,"no issues found"
WEB-237318,599940,"failed to fetch homepage HTML"
WEB-237317,127275,"no issues found"
WEB-237313,543444,"no issues found"
WEB-237310,608982,"skipped due to missing spot ID or website URL"
WEB-237309,111108,"skipped due to missing spot ID or website URL"
WEB-237305,549648,"no issues found"
WEB-237303,454311,"no issues found"
WEB-237297,62142,"no issues found"
WEB-237296,582055,"no issues found"
WEB-237295,553938,"skipped due to missing spot ID or website URL"
WEB-237288,85252,"no issues found"
WEB-237280,223325,"no issues found"
WEB-237276,556646,"no issues found"
WEB-237227,577533,"no issues found"
WEB-237192,10385,"skipped due to missing spot ID or website URL"
WEB-237151,110674,"no issues found"
WEB-237150,471999,"no issues found"
WEB-237148,554573,"no issues found"
WEB-237147,299226,"no issues found"
WEB-237145,121017,"no issues found"
WEB-236826,536381,"no issues found"
WEB-236823,599049,"no issues found"
WEB-236822,526086,"no issues found"
WEB-236821,572237,"no issues found"
WEB-236820,101887,"no issues found"
WEB-236819,513955,"no issues found"
WEB-236817,49563,"no issues found"
WEB-236816,598918,"no issues found"
WEB-236815,546089,"no issues found"
WEB-236811,124968,"no issues found"
WEB-236810,516681,"no issues found"
WEB-236809,43713,"no issues found"
WEB-236808,138670,"no issues found"
WEB-236805,133428,"no issues found"
WEB-236804,127734,"no issues found"
WEB-236803,573639,"no issues found"
WEB-236802,19576,"no issues found"
WEB-236800,382133,"no issues found"
WEB-236799,91148,"no issues found"
WEB-236798,566445,"no issues found"
WEB-236795,,"skipped due to missing spot ID or website URL"
WEB-236792,30352,"issue found https://ohanabbqoceanside05.com/specials https://ohanabbqoceanside05.com/events https://ohanabbqoceanside05.com/drink-menu https://ohanabbqoceanside05.com/food-menu https://tmt.spotapps.co/job-listings?spot_id=30352 https://ohanabbqoceanside05.com/-catering https://ohanabbqoceanside05.com/-party https://ohanabbqoceanside05.com/-reservations"
WEB-236790,87202,"no issues found"
WEB-236789,574365,"no issues found"
WEB-236787,100162,"no issues found"
WEB-236784,551207,"no issues found"
WEB-236781,534843,"no issues found"
WEB-236779,558323,"no issues found"
WEB-236778,590836,"no issues found"
WEB-236776,31527,"no issues found"
WEB-236772,305019,"no issues found"
WEB-236770,527325,"no issues found"
WEB-236765,109159,"skipped due to missing spot ID or website URL"
WEB-236746,578953,"issue found https://order.online/store/-24858494?hideModal=true https://www.ubereats.com/store/la-parroquia-taqueria-prattville/gl9Da8UJWzGXyptPQkEFBg?diningMode=DELIVERY&mod=merchantUnavailable&modctx=%257B%2522storeUuid%2522%253A%2522825f436b-c509-5b31-97ca-9b4f42410506%2522%257D&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNhZmUlMjAxNzE3JTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyaGVyZSUzQXBkcyUzQXBsYWNlJTNBODQwZGpmODMtMjdhZGQxNjljNjg4NTc1M2RiNDA1Yjk2ODJjMjFlYmYlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyaGVyZV9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTMyLjQyMjYlMkMlMjJsb25naXR1ZGUlMjIlM0EtODYuNDEwOTElN0Q%3D&ps=1&utm_source=menu-maker https://taquerialaparroquiaal.com/taqueria-la-parroquia/locations/ https://lptacos.com/catering https://lptacos.com/party https://lptacos.com/specials https://lptacos.com/events https://lptacos.com/drink-menu https://lptacos.com/food-menu"
WEB-236730,313556,"skipped due to missing spot ID or website URL"
WEB-236696,86777,"skipped due to missing spot ID or website URL"
WEB-236652,268470,"no issues found"
WEB-236651,144450,"no issues found"
WEB-236649,115395,"no issues found"
WEB-236648,570966,"no issues found"
WEB-236647,165299,"no issues found"
WEB-236319,568725,"no issues found"
WEB-236318,595188,"no issues found"
WEB-236317,60842,"skipped due to missing spot ID or website URL"
WEB-236315,135159,"no issues found"
WEB-236314,578919,"issue found https://tmt.spotapps.co/job-listings?spot_id=578919 https://headlinersclt.com/-reservations https://headlinersclt.com/-catering https://headlinersclt.com/-party"
WEB-236311,54049,"no issues found"
WEB-236310,361586,"no issues found"
WEB-236308,484341,"skipped due to missing spot ID or website URL"
WEB-236306,593969,"skipped due to missing spot ID or website URL"
WEB-236304,566381,"no issues found"
WEB-236300,444942,"no issues found"
WEB-236299,147370,"no issues found"
WEB-236297,537141,"no issues found"
WEB-236295,451209,"no issues found"
WEB-236294,573705,"issue found https://casajaliscomoberly.com/party https://tmt.spotapps.co/job-listings?spot_id=573705 https://casajaliscomoberly.com/reservations https://casajaliscomoberly.com/catering https://tmt.spotapps.co/ordering-menu?spot_id=573705&accordion=true&images=yes https://casajaliscomoberly.com/specials https://casajaliscomoberly.com/events https://casajaliscomoberly.com/drink-menu https://casajaliscomoberly.com/food-menu"
WEB-236293,579645,"no issues found"
WEB-236289,615389,"skipped due to missing spot ID or website URL"
WEB-236288,581230,"skipped due to missing spot ID or website URL"
WEB-236277,585684,"no issues found"
WEB-236183,75243,"no issues found"
WEB-236181,578194,"no issues found"
WEB-236180,150047,"no issues found"
